2	-0.462251	0.000430507	0.196762	0.000558925	1.35371	0.00630184
1.9	-0.482685	0.000422775	0.21326	0.000806561	1.50468	0.00882608
1.8	-0.50438	0.000410948	0.230423	0.000644534	1.68017	0.0113552
1.7	-0.527938	0.000423884	0.24735	0.000753107	1.88732	0.00903131
1.6	-0.554468	0.000415707	0.269781	0.000872205	2.18283	0.0120193
1.5	-0.583085	0.000348469	0.292813	0.00138119	2.52634	0.0190062
1.4	-0.612958	0.000395989	0.316489	0.00122086	2.94115	0.0198742
1.3	-0.646512	0.000439975	0.345223	0.00115707	3.55772	0.027276
1.2	-0.68274	0.000455913	0.366834	0.00200358	4.41717	0.0335863
1.1	-0.720731	0.000470257	0.3959	0.00205034	5.60789	0.0461015
1	-0.761889	0.000555964	0.418895	0.00269063	7.46835	0.0572898
0.9	-0.804771	0.000608394	0.43738	0.00343372	10.3543	0.12804
0.8	-0.849175	0.000669139	0.448627	0.00318622	15.4823	0.192374
0.7	-0.892451	0.000971405	0.432169	0.00436402	24.45	0.440472
0.6	-0.934356	0.00113698	0.423462	0.00623032	43.897	0.901874
0.5	-0.973493	0.0010685	0.330785	0.00836711	78.4322	1.03275
