0	9.64331	0
1	5.5651	4.07821
2	4.22758	2.70793
3	3.53471	2.0363
4	3.14283	1.62526
5	2.87723	1.35334
6	2.68035	1.1606
7	2.54105	1.01472
8	2.41966	0.903092
9	2.32559	0.81321
10	2.25578	0.738882
11	2.19275	0.677442
12	2.14053	0.62534
13	2.09089	0.581077
14	2.04623	0.542793
15	2.01145	0.508926
16	1.97802	0.479221
17	1.95034	0.452661
18	1.9263	0.428848
19	1.90531	0.407382
20	1.88543	0.388008
21	1.87014	0.370267
22	1.85074	0.354333
23	1.83793	0.33949
24	1.82552	0.325864
25	1.81326	0.31332
26	1.80387	0.301638
27	1.79362	0.290847
28	1.78469	0.28078
29	1.77546	0.271417
30	1.76625	0.262677
31	1.75843	0.254456
32	1.75139	0.246725
33	1.74361	0.239485
34	1.73747	0.232623
35	1.73128	0.226154
36	1.72466	0.220056
37	1.71575	0.214372
38	1.71093	0.208858
39	1.70389	0.203692
40	1.69927	0.198715
41	1.69526	0.193968
42	1.69091	0.189453
43	1.68685	0.185142
44	1.68314	0.181019
45	1.67911	0.177086
46	1.67539	0.173317
47	1.67142	0.169714
48	1.66883	0.166235
49	1.66526	0.162915
50	1.66232	0.159716
51	1.65974	0.156636
52	1.65728	0.153671
53	1.65345	0.150847
54	1.65002	0.148119
55	1.64833	0.14546
56	1.64561	0.142911
57	1.64398	0.140435
58	1.64205	0.138048
59	1.64084	0.135733
60	1.63824	0.133514
61	1.63651	0.131355
62	1.63443	0.12927
63	1.63209	0.127255
64	1.62964	0.125306
65	1.62715	0.123418
66	1.62449	0.121591
67	1.6228	0.119802
68	1.62083	0.118069
69	1.61949	0.116378
70	1.61723	0.114749
71	1.61452	0.113177
72	1.61306	0.111625
73	1.61072	0.110131
74	1.60887	0.108669
75	1.60671	0.107251
76	1.60538	0.105857
77	1.60431	0.104497
78	1.60278	0.103177
79	1.60165	0.101885
80	1.60033	0.100628
81	1.59995	0.0993942
82	1.59877	0.0981964
83	1.59728	0.0970319
84	1.59661	0.0958858
85	1.59495	0.0947789
86	1.59388	0.0936892
87	1.59232	0.0926316
88	1.59164	0.0915874
89	1.59077	0.0905682
90	1.58979	0.0895727
91	1.58892	0.0885981
92	1.5884	0.0876418
93	1.58695	0.0867166
94	1.58589	0.0858055
95	1.58448	0.0849186
96	1.58355	0.0840438
97	1.58269	0.0831863
98	1.58198	0.0823447
99	1.58093	0.0815239
