           1     1.43871     1.43871           0
           2     1.43865     1.43868 2.19128e-05
           3     1.43861     1.43866 2.50605e-05
           4     1.43861     1.43865 2.21048e-05
           5     1.43858     1.43863 2.10707e-05
           6     1.43861     1.43863 1.78596e-05
           7     1.43871     1.43864 1.84467e-05
           8     1.43861     1.43864 1.65389e-05
           9     1.43842     1.43861 2.68406e-05
          10     1.43837     1.43859 3.32408e-05
          11      1.4385     1.43858 3.12146e-05
          12     1.43855     1.43858 2.87184e-05
          13     1.43862     1.43858 2.66659e-05
          14     1.43854     1.43858 2.49479e-05
          15     1.43864     1.43858 2.35964e-05
          16     1.43844     1.43857 2.37777e-05
          17     1.43848     1.43857 2.29775e-05
          18     1.43858     1.43857 2.17095e-05
          19     1.43854     1.43857 2.06224e-05
          20     1.43847     1.43856 2.01844e-05
