           1    -0.33988    -0.33988           0
           2   -0.327801    -0.33384  0.00427087
           3   -0.362258   -0.343313  0.00824178
           4   -0.393545   -0.355871   0.0125095
           5   -0.385811   -0.361859   0.0113507
           6   -0.402395   -0.368615   0.0112919
           7    -0.40952   -0.374459   0.0110882
           8    -0.35733   -0.372318  0.00990672
           9   -0.428176   -0.378524   0.0105728
          10   -0.488667   -0.389538   0.0141326
          11    -0.45956   -0.395904   0.0142093
          12   -0.511801   -0.405562   0.0159737
          13    -0.48732   -0.411851    0.015935
          14   -0.497073   -0.417938   0.0159171
          15   -0.447357     -0.4199   0.0149763
          16   -0.407464   -0.419122   0.0140604
          17    -0.45299   -0.421115   0.0133737
          18   -0.447767   -0.422595   0.0127124
          19   -0.454737   -0.424287   0.0121554
          20   -0.470062   -0.426576   0.0117611
